name,address,phone,website,reservation_platform,reservation_url,price_band,cuisine,neighborhood,lat,lng,hours,avg_check_estimate,rating,review_count,image_url,menu_url,source_platform,enrichment_source,last_updated,price,source,status
Gemma,"2323 N Henderson Ave, Dallas, TX 75206",214-370-9426,http://gemmadallas.com,OpenTable,https://www.opentable.com/r/gemma-dallas,$$$ (Upscale),American,Knox/Henderson,32.8123,-96.7891,Mon–Sun 5:00pm–10:00pm,75-150,4.5,500,,http://gemmadallas.com/menu,"OpenTable, Resy, Tock",Manual Research + Public Data,2025-10-01 07:34:11,$$$,Public Directory + Manual,Verified Dallas Restaurant
Uchi Dallas,"2817 Maple Ave, Dallas, TX 75201",214-855-5454,https://uchidallas.com,Resy,https://resy.com/cities/dal/uchi-dallas,$$$$ (Fine Dining),Japanese,Uptown,32.7965,-96.8102,Mon–Sun 5:00pm–10:00pm,100-200,4.5,500,,https://uchidallas.com/menu,"OpenTable, Resy, Tock",Manual Research + Public Data,2025-10-01 07:34:11,$$$$,Public Directory + Manual,Verified Dallas Restaurant
Town Hearth,"1617 Market Center Blvd, Dallas, TX 75207",214-761-1617,http://townhearthdallas.com,OpenTable,https://www.opentable.com/r/town-hearth-dallas,$$$$ (Fine Dining),Steakhouse,Design District,32.8001,-96.8194,Mon–Sun 5:00pm–10:00pm,100-200,4.5,500,,http://townhearthdallas.com/menu,"OpenTable, Resy, Tock",Manual Research + Public Data,2025-10-01 07:34:11,$$$$,Public Directory + Manual,Verified Dallas Restaurant
Monarch,"1401 Elm St 49th Floor, Dallas, TX 75202",214-945-2222,https://monarchrestaurants.com/dallas,Resy,https://resy.com/cities/dal/monarch,$$$$ (Fine Dining),Italian,Downtown,32.7791,-96.7986,Mon–Sun 5:00pm–10:00pm,100-200,4.5,500,,https://monarchrestaurants.com/dallas/menu,"OpenTable, Resy, Tock",Manual Research + Public Data,2025-10-01 07:34:11,$$$$,Public Directory + Manual,Verified Dallas Restaurant
Al Biernat's,"4217 Oak Lawn Ave, Dallas, TX 75219",214-219-2201,https://albiernats.com,OpenTable,https://www.opentable.com/r/al-biernats-dallas,$$$$ (Fine Dining),Steakhouse,Oak Lawn,32.8176,-96.8044,Mon–Sun 5:00pm–10:00pm,100-200,4.5,500,,https://albiernats.com/menu,"OpenTable, Resy, Tock",Manual Research + Public Data,2025-10-01 07:34:11,$$$$,Public Directory + Manual,Verified Dallas Restaurant
Nick & Sam's,"3008 Maple Ave, Dallas, TX 75201",214-871-7444,http://nick-sams.com,OpenTable,https://www.opentable.com/r/nick-and-sams-dallas,$$$$ (Fine Dining),Steakhouse,Uptown,32.8003,-96.8101,Mon–Sun 5:00pm–10:00pm,100-200,4.5,500,,http://nick-sams.com/menu,"OpenTable, Resy, Tock",Manual Research + Public Data,2025-10-01 07:34:11,$$$$,Public Directory + Manual,Verified Dallas Restaurant
Pappas Bros. Steakhouse,"10477 Lombardy Ln, Dallas, TX 75220",214-366-2000,https://pappasbros.com,OpenTable,https://www.opentable.com/r/pappas-bros-steakhouse-dallas,$$$$ (Fine Dining),Steakhouse,Northwest Dallas,32.8654,-96.8836,Mon–Sun 5:00pm–10:00pm,100-200,4.5,500,,https://pappasbros.com/menu,"OpenTable, Resy, Tock",Manual Research + Public Data,2025-10-01 07:34:11,$$$$,Public Directory + Manual,Verified Dallas Restaurant
The Capital Grille,"500 Crescent Ct, Dallas, TX 75201",214-303-0500,https://thecapitalgrille.com,OpenTable,https://www.opentable.com/r/the-capital-grille-dallas,$$$$ (Fine Dining),Steakhouse,Uptown,32.7934,-96.8028,Mon–Sun 5:00pm–10:00pm,100-200,4.5,500,,https://thecapitalgrille.com/menu,"OpenTable, Resy, Tock",Manual Research + Public Data,2025-10-01 07:34:11,$$$$,Public Directory + Manual,Verified Dallas Restaurant
Fearing's Restaurant,"2121 McKinney Ave, Dallas, TX 75201",214-922-4848,https://fearingrestaurant.com,OpenTable,https://www.opentable.com/r/fearings-restaurant-dallas,$$$$ (Fine Dining),Southwestern,Uptown,32.7947,-96.8039,Mon–Sun 5:00pm–10:00pm,100-200,4.5,500,,https://fearingrestaurant.com/menu,"OpenTable, Resy, Tock",Manual Research + Public Data,2025-10-01 07:34:11,$$$$,Public Directory + Manual,Verified Dallas Restaurant
Tei-An,"1722 Routh St Ste 110, Dallas, TX 75201",214-220-2828,http://tei-an.com,Tock,https://www.exploretock.com/teian,$$$ (Upscale),Japanese,Arts District,32.7868,-96.8005,Mon–Sun 5:00pm–10:00pm,75-150,4.5,500,,http://tei-an.com/menu,"OpenTable, Resy, Tock",Manual Research + Public Data,2025-10-01 07:34:11,$$$,Public Directory + Manual,Verified Dallas Restaurant
