name,address,neighborhood,price,cuisine,source,reservation_platform,status
Gemma,"2323 N Henderson Ave, Dallas, TX 75206",Knox/Henderson,$$$,American,Public Directory + Manual,OpenTable/Resy,Verified Dallas Restaurant
Uchi Dallas,"2817 Maple Ave, Dallas, TX 75201",Uptown,$$$$,Japanese,Public Directory + Manual,OpenTable/Resy,Verified Dallas Restaurant
Town Hearth,"1617 Market Center Blvd, Dallas, TX 75207",Design District,$$$$,Steakhouse,Public Directory + Manual,OpenTable/Resy,Verified Dallas Restaurant
Monarch,"1401 Elm St 49th Floor, Dallas, TX 75202",Downtown,$$$$,Italian,Public Directory + Manual,OpenTable/Resy,Verified Dallas Restaurant
Al Biernat's,"4217 Oak Lawn Ave, Dallas, TX 75219",Oak Lawn,$$$$,Steakhouse,Public Directory + Manual,OpenTable/Resy,Verified Dallas Restaurant
Nick & Sam's,"3008 Maple Ave, Dallas, TX 75201",Uptown,$$$$,Steakhouse,Public Directory + Manual,OpenTable/Resy,Verified Dallas Restaurant
Pappas Bros. Steakhouse,"10477 Lombardy Ln, Dallas, TX 75220",Northwest Dallas,$$$$,Steakhouse,Public Directory + Manual,OpenTable/Resy,Verified Dallas Restaurant
The Capital Grille,"500 Crescent Ct, Dallas, TX 75201",Uptown,$$$$,Steakhouse,Public Directory + Manual,OpenTable/Resy,Verified Dallas Restaurant
Fearing's Restaurant,"2121 McKinney Ave, Dallas, TX 75201",Uptown,$$$$,Southwestern,Public Directory + Manual,OpenTable/Resy,Verified Dallas Restaurant
Tei-An,"1722 Routh St Ste 110, Dallas, TX 75201",Arts District,$$$,Japanese,Public Directory + Manual,OpenTable/Resy,Verified Dallas Restaurant
