name	address	phone	website	reservation_platform	reservation_url	price_band	cuisine_tags	neighborhood	lat	lng	hours	avg_check_estimate	rating	review_count	image_url	menu_url	source_platform
Gemma	2323 N Henderson Ave, Dallas, TX 75206	214-370-9426	http://gemmadallas.com	OpenTable	https://www.opentable.com/r/gemma-dallas	$$$	American, Contemporary	Knox/Henderson	32.8123	-96.7891	Mon–Sun 5:00pm–10:00pm	55	4.5	682	https://s3.yelpcdn.com/photo/gemma.jpg	https://gemmadallas.com/menu	OpenTable,Google,Yelp
Uchi Dallas	2817 Maple Ave, Dallas, TX 75201	214-855-5454	https://uchidallas.com	Resy	https://resy.com/cities/dal/uchi-dallas	$$$$	Japanese, Sushi	Uptown	32.7965	-96.8102	Mon–Sun 4:00pm–10:00pm	95	4.7	1123	https://s3.yelpcdn.com/photo/uchi.jpg	https://uchidallas.com/menu	Resy,Google,Yelp
Town Hearth	1617 Market Center Blvd, Dallas, TX 75207	214-761-1617	http://townhearthdallas.com	OpenTable	https://www.opentable.com/r/town-hearth-dallas	$$$$	Steakhouse, American	Design District	32.8001	-96.8194	Tue–Sat 5:00pm–11:00pm	120	4.6	2140	https://s3.yelpcdn.com/photo/townhearth.jpg	http://townhearthdallas.com/menu	OpenTable,Google,Yelp
Monarch	1401 Elm St 49th Floor, Dallas, TX 75202	214-945-2222	https://monarchrestaurants.com/dallas	Resy	https://resy.com/cities/dal/monarch	$$$$	Italian, Fine Dining	Downtown	32.7791	-96.7986	Mon–Sun 5:00pm–10:00pm	110	4.5	960	https://s3.yelpcdn.com/photo/monarch.jpg	https://monarchrestaurants.com/menu	Resy,Google,Yelp
Pappas Bros. Steakhouse	10477 Lombardy Ln, Dallas, TX 75220	214-366-2000	https://pappasbros.com	OpenTable	https://www.opentable.com/r/pappas-bros-steakhouse-dallas	$$$$	Steakhouse, Wine Bar	Northwest Dallas	32.8654	-96.8836	Mon–Sat 5:00pm–10:00pm	130	4.8	1432	https://s3.yelpcdn.com/photo/pappasbros.jpg	https://pappasbros.com/menu	OpenTable,Google,Yelp
Al Biernat's	4217 Oak Lawn Ave, Dallas, TX 75219	214-219-2201	https://albiernats.com	OpenTable	https://www.opentable.com/r/al-biernats-dallas	$$$$	Steakhouse, Seafood	Oak Lawn	32.8176	-96.8044	Mon–Sun 5:00pm–10:00pm	115	4.7	1589	https://s3.yelpcdn.com/photo/albiernats.jpg	https://albiernats.com/menu	OpenTable,Google,Yelp
Nick & Sam's	3008 Maple Ave, Dallas, TX 75201	214-871-7444	http://nick-sams.com	OpenTable	https://www.opentable.com/r/nick-and-sams-dallas	$$$$	Steakhouse, American	Uptown	32.8003	-96.8101	Mon–Sun 5:00pm–11:00pm	125	4.6	1876	https://s3.yelpcdn.com/photo/nicksams.jpg	http://nick-sams.com/menu	OpenTable,Google,Yelp
Tei-An	1722 Routh St Ste 110, Dallas, TX 75201	214-220-2828	http://tei-an.com	Tock	https://www.exploretock.com/teian	$$$	Japanese, Soba	Arts District	32.7868	-96.8005	Tue–Sun 5:30pm–10:00pm	75	4.7	634	https://s3.yelpcdn.com/photo/teian.jpg	http://tei-an.com/menu	Tock,Google,Yelp
Fearing's Restaurant	2121 McKinney Ave, Dallas, TX 75201	214-922-4848	https://fearingrestaurant.com	OpenTable	https://www.opentable.com/r/fearings-restaurant-dallas	$$$$	Southwestern, Fine Dining	Uptown	32.7947	-96.8039	Mon–Sun 5:00pm–10:00pm	105	4.6	978	https://s3.yelpcdn.com/photo/fearings.jpg	https://fearingrestaurant.com/menu	OpenTable,Google,Yelp
The Capital Grille	500 Crescent Ct, Dallas, TX 75201	214-303-0500	https://thecapitalgrille.com	OpenTable	https://www.opentable.com/r/the-capital-grille-dallas	$$$$	Steakhouse, American	Uptown	32.7934	-96.8028	Mon–Sun 5:00pm–10:00pm	120	4.7	1342	https://s3.yelpcdn.com/photo/capitalgrille.jpg	https://thecapitalgrille.com/menu	OpenTable,Google,Yelp
